ID,name,category
7f0d3e2a-5c1a-4a0e-9d4e-1b2c3d4e5f60,Laptop Pro 14,Electronics
a1c2b3d4-e5f6-47a8-9b0c-d1e2f3a4b5c6,Office Chair Deluxe,Furniture
c9d8e7f6-a5b4-43c2-81d0-9f8e7d6c5b4a,Wireless Mouse,Electronics
0b1a2c3d-4e5f-46a7-8b9c-0d1e2f3a4b5c,Standing Desk,Furniture
d4c3b2a1-0f9e-48d7-8c6b-5a4e3d2c1b0a,Noise Cancelling Headphones,Electronics
1a2b3c4d-5e6f-47a8-9b0c-d1e2f3a4b5c7,Notebook A5,Stationery
2b3c4d5e-6f7a-48b9-0c1d-2e3f4a5b6c7d,Ballpoint Pen Blue,Stationery
3c4d5e6f-7a8b-49c0-1d2e-3f4a5b6c7d8e,Monitor 27 Inch,Electronics
4d5e6f7a-8b9c-4ad1-2e3f-4a5b6c7d8e9f,Keyboard Mechanical,Electronics
5e6f7a8b-9c0d-4be2-3f4a-5b6c7d8e9f0a,File Cabinet,Furniture
